model,feature_set,sample_size,accuracy,roc_auc,f1,pr_auc,train_time_s,predict_time_s,note
Decision Tree,Raw 28D,20000,0.67025,0.7061788417471271,0.6695928130312688,0.6839730121373545,0.18,0.0,
k-NN,Raw 28D,20000,0.602,0.6438416632032465,0.5992817948551911,0.6417854805112853,0.0,0.05,
Linear SVM,Raw 28D,20000,0.6485,0.6925830701008764,0.6445723959922693,0.6840026416832106,0.04,0.0,
RBF SVM,Raw 28D,20000,,,,,,,Skipped
Random Forest,Raw 28D,20000,0.69875,0.7765661861468706,0.6986065782915732,0.7924748082599685,0.45,0.01,
XGBoost,Raw 28D,20000,0.7075,0.7856025186141611,0.7073371609149082,0.8029925274521204,0.33,0.0,
Decision Tree,Raw 28D + Cluster,20000,0.669,0.702970574832547,0.6683486438090211,0.6773278463428721,0.18,0.0,
k-NN,Raw 28D + Cluster,20000,0.61025,0.649355703645472,0.6077055612184427,0.6500424318383595,0.0,0.04,
Linear SVM,Raw 28D + Cluster,20000,0.64675,0.6939218416927645,0.6425448941203599,0.6875851305985381,0.02,0.0,
RBF SVM,Raw 28D + Cluster,20000,,,,,,,Skipped
Random Forest,Raw 28D + Cluster,20000,0.69875,0.7756913750692371,0.6983980842455041,0.7914625148368359,0.42,0.01,
XGBoost,Raw 28D + Cluster,20000,0.70675,0.7854510800985741,0.7066548972620488,0.8047533239316011,0.33,0.0,
