model,feature_set,sample_size,accuracy,roc_auc,f1,pr_auc,train_time_s,predict_time_s,note
Decision Tree,Raw 28D,1000000,0.701235,0.7719776523359296,0.700857216387449,0.7834261571244518,19.95,0.03,
k-NN,Raw 28D,1000000,,,,,,,Skipped
Linear SVM,Raw 28D,1000000,0.639885,0.6824488761156772,0.6344562457733506,0.681471067557588,5.45,0.04,
RBF SVM,Raw 28D,1000000,,,,,,,Skipped
Random Forest,Raw 28D,1000000,0.732085,0.8124412712030127,0.7318814043833699,0.8283177545916631,65.23,0.66,
XGBoost,Raw 28D,1000000,0.737395,0.8184611720985382,0.7372361110769227,0.8335658801235282,6.75,0.1,
Decision Tree,Raw 28D + Cluster,1000000,0.701255,0.7720045548842152,0.7008775200432267,0.7834258651880803,19.6,0.03,
k-NN,Raw 28D + Cluster,1000000,,,,,,,Skipped
Linear SVM,Raw 28D + Cluster,1000000,0.640915,0.685525550459818,0.6353120196469785,0.685125643588332,6.42,0.04,
RBF SVM,Raw 28D + Cluster,1000000,,,,,,,Skipped
Random Forest,Raw 28D + Cluster,1000000,0.73136,0.8120853692105958,0.7310974947723855,0.8282152410250766,67.06,0.66,
XGBoost,Raw 28D + Cluster,1000000,0.737545,0.8183358981782127,0.7373853884027296,0.8336480358290296,6.37,0.1,
