model,feature_set,sample_size,accuracy,roc_auc,f1,pr_auc,train_time_s,predict_time_s,note
Decision Tree,Raw 28D,200000,0.692375,0.7612675058047452,0.6921852130229751,0.7676593232127704,3.3,0.01,
k-NN,Raw 28D,200000,0.639525,0.6888427805121419,0.6371701505452718,0.691071660359732,0.08,6.25,
Linear SVM,Raw 28D,200000,0.640025,0.683750351725126,0.6344218958540583,0.6819836288802401,0.94,0.01,
RBF SVM,Raw 28D,200000,,,,,,,Skipped
Random Forest,Raw 28D,200000,0.72475,0.8045240047158047,0.7244380503458806,0.8196739210440604,9.01,0.08,
XGBoost,Raw 28D,200000,0.735225,0.8143426909353675,0.7350586279215217,0.8269889262570538,1.42,0.03,
Decision Tree,Raw 28D + Cluster,200000,0.692275,0.761174416387606,0.6920874842887633,0.7677819020212262,3.29,0.01,
k-NN,Raw 28D + Cluster,200000,0.63915,0.6883347214729902,0.6369792866197087,0.6910006106446592,0.08,4.65,
Linear SVM,Raw 28D + Cluster,200000,0.64175,0.6870002019725581,0.6361381998024878,0.6859863276700056,1.02,0.01,
RBF SVM,Raw 28D + Cluster,200000,,,,,,,Skipped
Random Forest,Raw 28D + Cluster,200000,0.72495,0.8040039730959521,0.7246247768305377,0.8191183294323362,8.88,0.09,
XGBoost,Raw 28D + Cluster,200000,0.735575,0.8150966838625131,0.7354442560685167,0.8276650300556521,1.59,0.02,
