model,feature_set,sample_size,accuracy,roc_auc,f1,pr_auc,train_time_s,predict_time_s,note
Decision Tree,Raw 28D,500000,0.69931,0.7707021395991761,0.6992251932914563,0.7824614978195532,8.89,0.01,
k-NN,Raw 28D,500000,,,,,,,Skipped
Linear SVM,Raw 28D,500000,0.64064,0.6829363411469419,0.6352649127523379,0.6814449304138805,2.43,0.02,
RBF SVM,Raw 28D,500000,,,,,,,Skipped
Random Forest,Raw 28D,500000,0.73018,0.8105540018973819,0.7299499153745276,0.825817859167425,27.52,0.29,
XGBoost,Raw 28D,500000,0.73839,0.8192056978364038,0.7382076386927613,0.8336079416088437,3.02,0.05,
Decision Tree,PCA 10D,500000,0.60641,0.6437421556698963,0.6040264733791822,0.6437549862014996,4.39,0.01,
k-NN,PCA 10D,500000,,,,,,,Skipped
Linear SVM,PCA 10D,500000,0.55716,0.5649891143587686,0.5339581225651309,0.5798630335266852,0.24,0.01,
RBF SVM,PCA 10D,500000,,,,,,,Skipped
Random Forest,PCA 10D,500000,0.64082,0.6915580822839795,0.6368223526438538,0.6996105340373,24.76,0.24,
XGBoost,PCA 10D,500000,0.63956,0.6909039050365781,0.635795384776623,0.6979677061131648,1.88,0.04,
